Wrocławska, Pisarzowice, średzki, dolnośląskie;Pisarzowice;;51.2077214;16.8516465
Wrocław, Psie Pole, Wojnów;;;;
Wrocław, Psie Pole, ul. Henryka Michała Kamieńskiego;Wrocław;51-313;51.1459988;17.114733
Wrocław, Psie Pole, Sołtysowice;;;;
Skotniki, trzebnicki, dolnośląskie;Skotniki;;51.2866124;17.1594167
Wrocław, Psie Pole, Polanowice;;;;
Wrocław, Fabryczna, Ratyń, ul. Plenerowa;;;;
Wrocław, Fabryczna, Strachowice;;;;
Wrocław, Psie Pole, Polanowice, Okolice Kamieńskiego;;;;
Wrocław, Fabryczna, Marszowice, Wilkszyńska;;;;
ul. Dębowa, Smolec, wrocławski, dolnośląskie;Smolec;;51.0747049;16.8839452
Topolowa, Szewce, trzebnicki, dolnośląskie;Szewce;;51.2214868;16.9702776
Parkowa, Smolec, wrocławski, dolnośląskie;Smolec;;51.0747049;16.8839452
Pęciszów, trzebnicki, dolnośląskie;Pęciszów;;51.349956;17.184326
Piszkawa, oleśnicki, dolnośląskie;Piszkawa;;51.1506804;17.3053399
Radziądz, trzebnicki, dolnośląskie;Radziądz;;51.5112881;16.9665743
Wrocław, Psie Pole, Osobowice, osobowice;;;;
Wrocław, Śródmieście, Zalesie;;;;
Wrocław, Fabryczna, Osiniec;;;;
Mrozów, średzki, dolnośląskie;Mrozów;55-330;51.1878008;16.7894423
ul. Chłopska, Smolec, wrocławski, dolnośląskie;Smolec;;51.0747049;16.8839452
Krępice, średzki, dolnośląskie;Krępice;;51.162246;16.812383
ul. Parkowa, Smolec, wrocławski, dolnośląskie;Smolec;;51.0747049;16.8839452
Mirków, wrocławski, dolnośląskie;Mirków;;51.1662782;17.1588597
Uraz, Niziny, ul. Stumilowego Lasu;;;51.26277095;16.8545169177558
Wilczyce, wrocławski, dolnośląskie;Wilczyce;51-361;51.1301747;17.1535304
ul. Zacisze, Smolec, wrocławski, dolnośląskie;Smolec;;51.0747049;16.8839452
Wrocław, Fabryczna, Osiniecka;;;;
Nadolice Wielkie, Wrocław, dolnośląskie;;;;
Wrocław, Psie Pole, Widawa, Przy ruchliwej drodze;;;;
Brzezinki, oławski, dolnośląskie;Brzezinki;;51.0892434;17.3705976
Wrocław, Psie Pole, Zakrzów, gen. Leopolda Okulickiego;;;;
Nadolice Małe, wrocławski, dolnośląskie;Nadolice Małe;;51.0862927;17.2207695
Spacerowa, Pruszowice, wrocławski, dolnośląskie;Pruszowice;51-217;51.1875643;17.1341209
Wrocław, Psie Pole, Wojnów, ul. Błotna;;;;
Wrocław, Fabryczna, Pilczyce;Wrocław;54-320;51.1263889;16.9444444
Wrocław, Psie Pole, Pawłowice;Wrocław;51-378;51.1752889;17.0854669
ul. Długa, Psary, trzebnicki, dolnośląskie;Psary;51-188;51.1873358;17.0320313
ul. Oleśnicka, Dobroszyce, oleśnicki, dolnośląskie;Dobroszyce;;51.26554;17.34535
Ozorowice, trzebnicki, dolnośląskie;Ozorowice;;51.2378538;16.9798831
Golędzinów, trzebnicki, dolnośląskie;Golędzinów;;51.2681253;16.9243584
Akacjowa 61 B, Kiełczów, wrocławski, dolnośląskie;Kiełczów;;51.1398527;17.1790872
ul. Leśna, Pierwoszów, trzebnicki, dolnośląskie;Pierwoszów;;51.2493843;17.0773822
Akacjowa, Brzezinka Średzka, średzki, dolnośląskie;Brzezinka Średzka;;51.2152266;16.8228416
ul. Wschodnia, Długołęka, wrocławski, dolnośląskie;Długołęka;;51.1743484;17.1933513
Pęgowska, Wrocław, dolnośląskie;Wrocław;51-050;51.2056341;16.964629
ul. Główna, Psary, trzebnicki, dolnośląskie;Psary;51-188;51.1873358;17.0320313
Stanięcice, trzebnicki, dolnośląskie;;55-106;51.3576813;17.2662371
Kuźniczysko, trzebnicki, dolnośląskie;Kuźniczysko;;51.3778263;17.1820323
Sulisławice, trzebnicki, Dolnośląskie;;55-100;51.3142499;17.0886248
ul. Łąkowa, Piotrkowiczki, trzebnicki, dolnośląskie;Piotrkowiczki;;51.268959;17.025697
Kamień, wrocławski, Dolnośląskie;Kamień;;51.1662532;17.2183163
Sulisławice, trzebnicki, dolnośląskie;;55-100;51.3142499;17.0886248
Łąki, milicki, Dolnośląskie;Łąki;;51.4919957;17.1453325390414
ul. Lawendowa, Smolec, wrocławski, dolnośląskie;Smolec;;51.0747049;16.8839452
Mościsko, oławski, Dolnośląskie;;55-220;51.0538732;17.3550086
Malerzów, oleśnicki, Dolnośląskie;Malerzów;;51.36241;17.3239
Muflonowa, Myśliwska, Nadolice Wielkie, wrocławski, dolnośląskie;;55-003;51.0949754;17.2278444
Dobrzykowice, wrocławski, Dolnośląskie;Dobrzykowice;;51.093811;17.190866
Chodlewko, trzebnicki, dolnośląskie;Chodlewko;;51.3784724;16.8771353
Siemianice, trzebnicki, dolnośląskie;Siemianice;;51.3199549;16.9119644
ul. Gwiezdna, Pruszowice, wrocławski, dolnośląskie;Pruszowice;51-217;51.1875643;17.1341209
ul. Elizy Orzeszkowej, Wołów, wołowski, dolnośląskie;Wołów;56-100;51.3375098;16.639015
ul. Przedszkolna, Gajków, wrocławski, dolnośląskie;Gajków;;51.0581885;17.1865315
Kamieniec Wrocławski, wrocławski, Dolnośląskie;Kamieniec Wrocławski;55-002;51.075237;17.1735569
Golędzinów, trzebnicki, Dolnośląskie;Golędzinów;;51.2681253;16.9243584
Skokowa, trzebnicki, Dolnośląskie;Skokowa;;51.3906091;16.84881
Radwanice, wrocławski, Dolnośląskie;Radwanice;;51.0574994;17.106757
Wrocław, Krzyki;Wrocław;53-017;51.0711937;17.0043425
Domaszczyn, wrocławski, Dolnośląskie;Domaszczyn;;51.188587;17.1669992
Nowa Wieś Goszczańska, oleśnicki, Dolnośląskie;Nowa Wieś Goszczańska;;51.41777;17.4514
Osiek Mały, trzebnicki, Dolnośląskie;;55-140;51.4637712;16.9844401
Krzyżanowice, trzebnicki, Dolnośląskie;Krzyżanowice;;51.17417;17.0486879
Godzieszowa, wrocławski, Dolnośląskie;Godzieszowa;;51.2400899;17.1308524
