id;adres_id;wojewodztwo;powiat;gmina;miejscowosc;miejscowosc_nadrzedna;ulica;nr_domu;x92;y92;nazwa_podmiotu;maksymalna_predkosc;medium;internet_stacjonarny;telefon_stacjonarny;telewizja;wkt;teryt_g;teryt_p;teryt_w
9362906;1720586;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. SŁONECZNA;1;332454;368884;ORANGE POLSKA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(332454 368884);0218043;0218;02
167671;217970;DOLNOŚLĄSKIE;ŚREDZKI;MIĘKINIA;WOJNOWICE;WOJNOWICE;UL. GŁÓWNA;26;346054;373060;ORANGE POLSKA S.A.;DO 6;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(346054 373060);0218032;0218;02
271861;221689;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. OŁAWSKA;9;332557;368793;NETIA S.A.;POWYŻEJ 100;ŚWIATŁOWODOWE;TAK;NIE;TAK;POINT(332557 368793);0218043;0218;02
334530;9975316;DOLNOŚLĄSKIE;ŚREDZKI;MIĘKINIA;WRÓBLOWICE;WRÓBLOWICE;UL. WROCŁAWSKA;2A;344283;367449;ORANGE POLSKA S.A.;DO 4;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(344283 367449);0218032;0218;02
457956;243073;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;JUSZCZYN;JUSZCZYN;;13;337575;367950;ORANGE POLSKA S.A.;DO 1;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(337575 367950);0218043;0218;02
461579;251688;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;KOMORNIKI;KOMORNIKI;UL. LIPOWA;35;335144;369474;ORANGE POLSKA S.A.;DO 6;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(335144 369474);0218043;0218;02
682138;2001653;DOLNOŚLĄSKIE;ŚREDZKI;MALCZYCE;MALCZYCE;MALCZYCE;UL. ADAMA MICKIEWICZA;12;325171;375558;ORANGE POLSKA S.A.;DO 60;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(325171 375558);0218022;0218;02
730629;244161;DOLNOŚLĄSKIE;ŚREDZKI;UDANIN;PICHOROWICE;PICHOROWICE;;57;324023;357506;TELION SP. Z O.O.;DO 100;ŚWIATŁOWODOWE;TAK;NIE;TAK;POINT(324023 357506);0218052;0218;02
746340;242827;DOLNOŚLĄSKIE;ŚREDZKI;KOSTOMŁOTY;JAKUBKOWICE;JAKUBKOWICE;;12;335317;357308;ORANGE POLSKA S.A.;DO 4;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(335317 357308);0218012;0218;02
873736;1720607;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. DOJAZDOWA;8;332655;368897;NETIA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(332655 368897);0218043;0218;02
893737;521276;DOLNOŚLĄSKIE;ŚREDZKI;KOSTOMŁOTY;KOSTOMŁOTY;KOSTOMŁOTY;UL. 1 MAJA;20;332416;356014;ORANGE POLSKA S.A.;DO 40;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(332416 356014);0218012;0218;02
931164;9980982;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;CHWALIMIERZ;CHWALIMIERZ;;43A;332168;366779;NETIA S.A.;DO 4;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(332168 366779);0218043;0218;02
1113383;238052;DOLNOŚLĄSKIE;ŚREDZKI;MIĘKINIA;LUTYNIA;LUTYNIA;UL. KOŚCIUSZKI;83;344282;365652;ORANGE POLSKA S.A.;DO 60;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(344282 365652);0218032;0218;02
1120778;8198703;DOLNOŚLĄSKIE;ŚREDZKI;MALCZYCE;MALCZYCE;MALCZYCE;UL. OGRODOWA;3;324916;376124;ORANGE POLSKA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(324916 376124);0218022;0218;02
1121149;521575;DOLNOŚLĄSKIE;ŚREDZKI;MALCZYCE;MALCZYCE;MALCZYCE;UL. ROMUALDA TRAUGUTTA;12;324896;375486;ORANGE POLSKA S.A.;DO 80;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(324896 375486);0218022;0218;02
1158766;1720840;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;JUSZCZYN;JUSZCZYN;;43;337546;367671;ORANGE POLSKA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(337546 367671);0218043;0218;02
1323302;8199163;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. WROCŁAWSKA;14;332232;368983;NETIA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(332232 368983);0218043;0218;02
1357205;244161;DOLNOŚLĄSKIE;ŚREDZKI;UDANIN;PICHOROWICE;PICHOROWICE;;57;324023;357506;ORANGE POLSKA S.A.;DO 2;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(324023 357506);0218052;0218;02
1735973;1720250;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. WROCŁAWSKA;13;332251;369015;NETIA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(332251 369015);0218043;0218;02
1799763;1984446;DOLNOŚLĄSKIE;ŚREDZKI;KOSTOMŁOTY;WILKÓW ŚREDZKI;WILKÓW ŚREDZKI;;25;339077;358159;ORANGE POLSKA S.A.;DO 8;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(339077 358159);0218012;0218;02
1822970;1720982;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;WOJCZYCE;WOJCZYCE;;10;338132;366421;ORANGE POLSKA S.A.;DO 10;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(338132 366421);0218043;0218;02
1854200;216055;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;CIECHÓW;CIECHÓW;UL. JAWOROWA;16;329887;365817;ORANGE POLSKA S.A.;DO 6;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(329887 365817);0218043;0218;02
2017593;221689;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. OŁAWSKA;9;332557;368793;ORANGE POLSKA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(332557 368793);0218043;0218;02
2121666;576356;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. LIPOWA;8;331814;369634;NETIA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;NIE;TAK;POINT(331814 369634);0218043;0218;02
2143335;252776;DOLNOŚLĄSKIE;ŚREDZKI;UDANIN;UDANIN;UDANIN;;75;321576;355307;ORANGE POLSKA S.A.;DO 20;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(321576 355307);0218052;0218;02
2187923;240027;DOLNOŚLĄSKIE;ŚREDZKI;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;ŚRODA ŚLĄSKA;UL. ADAMA MICKIEWICZA;6;332008;368662;ORANGE POLSKA S.A.;DO 30;KABLOWE PAROWE MIEDZIANE;TAK;TAK;TAK;POINT(332008 368662);0218043;0218;02
2198092;529535;DOLNOŚLĄSKIE;ŚREDZKI;UDANIN;PIEKARY;PIEKARY;;4A;319807;355087;TELION SP. Z O.O.;DO 100;ŚWIATŁOWODOWE;TAK;NIE;TAK;POINT(319807 355087);0218052;0218;02
